Date, Run, Source, LSR1, LSR2, LSR3, LSR4, UTC, DUR, USE, MODE, SKY, T1-FIR CRMS, EL, AZ, Hz, TEL, NSB
20130110,65956, Mrk421,65953,65953,65953,65953, 08:11,30,30, 0.5W, A-, 0.1 (A),57,67,424, 2/1234, 5.7 (d)
20130110,65957, Mrk421,65953,65953,65953,65953, 08:42,30,25, 0.5N, B, 0.3 (B),62,66,435, 2/1234, 5.5 (d)
20130115,66083, Mrk421,66088,66088,66088,66088, 08:22,30,30, 0.5S, A, 0.2 (B),62,68,477, 2/1234, 4.8 (d)
20130115,66084, Mrk421,66088,66088,66088,66088, 08:53,30,30, 0.5E, A, 0.2 (B),68,66,477, 2/1234, 4.6 (d)
20130115,66095, Mrk421,66088,66088,66088,66088, 12:41,30,30, 0.5W, A, 0.2 (B),63,294,471, 2/1234, 4.8 (d)
20130120,66254, Mrk421,66253,66253,66253,66253, 09:02,30,30, 0.5W, A, 0.1 (A),74,61,443, 2/1234, 5.2 (d)
20130120,66259, Mrk421,66253,66253,66253,66253, 11:40,30,30, 0.5N, A, 0.1 (A),71,299,447, 2/1234, 4.5 (d)
20130120,66260, Mrk421,66253,66253,66253,66253, 12:12,30,30, 0.5S, A, 0.1 (A),65,293,441, 2/1234, 4.7 (d)
20130120,66261, Mrk421,66253,66253,66253,66253, 12:43,30,30, 0.5E, A, 0.1 (A),59,293,424, 2/1234, 5.4 (d)
20130122,66312, Mrk421,66311,66311,66311,66311, 12:01,30,30, 0.5S, A, 0.1 (A),66,293,433, 2/1234, 5.0 (d)
20130205,66571, Mrk421,66590,66568,66568,66568, 11:30,30,30, 0.5N, A, 0.1 (A),61,295,213, 2/1234, 2.6 (l)
20130206,66584, Mrk421,66590,66590,66590,66590, 06:52,30,27, 0.5S, B, 0.8 (D),62,68,436, 2/1234, 5.0 (d)
20130206,66585, Mrk421,66590,66590,66590,66590, 07:24,30,10, 0.5E, B, 2.0 (D),67,66,407, 2/1234, 5.4 (d)
20130208,66631, Mrk421,66627,66627,66627,66627, 07:34,30,14, 0.5S, B-, 2.2 (D),72,65,419, 2/1234, 5.1 (d)
20130214,66798, Mrk421,66796,66796,66796,66796, 07:11,30,30, 0.5E, A, 0.1 (A),71,64,450, 2/1234, 4.7 (d)
20130217,66909, Mrk421,66913,66913,66913,66913, 09:40,30,30, 0.5S, A, 0.1 (A),73,297,442, 2/1234, 4.5 (d)
20130217,66910, Mrk421,66913,66913,66913,66913, 10:13,30,22, 0.5E, B, 0.5 (D),67,295,434, 2/1234, 4.6 (d)
20130312,67278, Mrk421,67275,67275,67275,67275, 05:39,30,30, 0.5N, A, 0.1 (A),73,60,439, 2/1234, 5.0 (d)
20130317,67443, Mrk421,67444,67444,67444,67444, 04:31,30,30, 0.5N, A, 0.2 (B),64,66,383, 2/1234, 8.5 (m)
20130317,67445, Mrk421,67444,67444,67444,67444, 05:07,30,30, 0.5E, A, 0.1 (A),71,64,387, 2/1234, 7.5 (m)
20130403,67678, Mrk421,67669,67669,67669,67669, 07:00,20,20, 0.5S, A, 0.1 (A),71,295,405, 2/1234, 5.9 (d)
20130403,67679, Mrk421,67669,67669,67669,67669, 07:22,6,6, 0.5E, A, 0.0 (A),68,295,402, 2/1234, 6.1 (d)
20130411,67935, Mrk421,67949,67949,67949,67949, 03:37,30,30, 0.5W, A, 0.1 (A),73,62,417, 2/1234, 5.0 (d)
20130411,67942, Mrk421,67949,67949,67949,67949, 06:49,30,30, 0.5W, A, 0.1 (A),65,294,413, 2/1234, 5.0 (d)
20130411,67943, Mrk421,67949,67949,67949,67949, 07:19,33,33, 0.5N, A, 0.1 (A),60,295,405, 2/1234, 5.0 (d)
20130412,67961, Mrk421,67973,67973,67973,67973, 06:23,30,30, 0.5S, A, 0.1 (A),70,295,406, 2/1234, 4.8 (d)
20130412,67962, Mrk421,67973,67973,67973,67973, 06:54,30,30, 0.5E, A, 0.1 (A),65,294,401, 2/1234, 4.8 (d)
20130412,67963, Mrk421,67973,67973,67973,67973, 07:25,30,30, 0.5W, A, 0.1 (A),58,293,391, 2/1234, 5.1 (d)
20130412,67964, Mrk421,67973,67973,67973,67973, 07:55,30,30, 0.5N, A, 0.1 (A),52,295,377, 2/1234, 5.2 (d)
20130413,67977, Mrk421,67993,67993,67993,67993, 03:02,30,30, 0.5N, A, 0.3 (C),67,65,383, 2/1234, 6.1 (l)
20130413,67978, Mrk421,67993,67993,67993,67993, 03:33,30,14, 0.5S, A, 2.1 (D),74,63,345, 2/1234, 5.4 (l)
20130413,67986, Mrk421,67993,67993,67993,67993, 07:01,30,30, 0.5N, A, 0.1 (A),62,295,382, 2/1234, 4.9 (d)
20130413,67987, Mrk421,67993,67993,67993,67993, 07:32,30,30, 0.5S, A, 0.1 (A),56,293,372, 2/1234, 5.0 (d)
20130414,67998, Mrk421,68008,68008,68008,68008, 03:03,30,30, 0.5N, A, 0.1 (A),68,64,383, 2/1234, 6.5 (m)
20130414,67999, Mrk421,68008,68008,68008,68008, 03:34,30,30, 0.5S, A, 0.3 (B),74,62,381, 2/1234, 5.8 (l)
20130414,68004, Mrk421,68008,68008,68008,68008, 06:09,30,30, 0.5E, A, 0.1 (A),72,298,389, 2/1234, 4.9 (d)
20130414,68005, Mrk421,68008,68008,68008,68008, 06:40,30,30, 0.5W, A, 0.1 (A),65,294,379, 2/1234, 5.0 (d)
20130414,68006, Mrk421,68008,68008,68008,68008, 07:11,30,30, 0.5N, A, 0.1 (A),59,294,372, 2/1234, 4.8 (d)
20130415,68019, Mrk421,68034,68034,68034,68034, 03:09,30,30, 0.5S, A, 0.1 (A),70,66,406, 2/1234, 8.0 (m)
20130415,68026, Mrk421,68034,68034,68034,68034, 06:21,30,30, 0.5W, A, 0.1 (A),68,295,415, 2/1234, 5.0 (d)
20130415,68027, Mrk421,68034,68034,68034,68034, 06:52,8,8, 0.5N, A, 0.1 (A),64,295,420, 2/1234, 5.0 (d)
20130415,68028, Mrk421,68034,68034,68034,68034, 07:33,30,30, 0.5S, A, 0.1 (A),54,293,408, 2/1234, 5.0 (d)
20130416,68039, Mrk421,68048,68048,68048,68048, 03:12,30,30, 0.5W, A, 0.2 (B),72,63,274, 2/1234, 11.5 (h)
20130416,68044, Mrk421,68048,68048,68048,68048, 06:12,30,30, 0.5S, A, 0.1 (A),69,295,399, 2/1234,6.8
20130416,68045, Mrk421,68048,68048,68048,68048, 06:43,30,30, 0.5E, A, 0.3 (C),64,294,400, 2/1234, 5.9 (d)
20130416,68046, Mrk421,68048,68048,68048,68048, 07:14,15,15, 0.5W, A, 0.3 (B),58,293,396, 2/1234, 5.7 (d)
20130502,68247, Mrk421,68248,68248,68248,68248, 05:14,20,20, 0.5E, A, 0.0 (A),70,296,388, 2/1234, 5.1 (d)
20130508,68380, Mrk421,68391,68391,68391,68391, 05:40,20,20, 0.5W, B, 0.1 (A),59,293,390, 2/1234, 5.0 (d)
20140126,71815, Mrk421,71798,71798,71798,71798, 08:27,30,30, 0.5N, A, 0.1 (A),71,62,421, 2/1234, 5.1 (d)
20140327,72681, Mrk421,72687,72687,72687,72687, 04:39,20,20, 0.5E, B, 5.2 (D),72,64,349, 2/1234, 5.9 (d)
20140428,73182, Mrk421,73185,73185,73185,73185, 06:03,21,21, 0.5S, B, 0.1 (A),63,293,391, 2/1234, 6.8 (d)
20140429,73200, Mrk421,73207,73207,73207,73207, 05:22,30,30, 0.5E, A, 0.0 (A),70,296,400, 2/1234, 5.9 (d)
20140429,73201, Mrk421,73207,73207,73207,73207, 05:53,30,30, 0.5W, A, 0.1 (A),63,294,391, 2/1234, 6.3 (d)
20140429,73202, Mrk421,73207,73207,73207,73207, 06:24,30,30, 0.5N, A, 0.1 (A),57,294,377, 2/1234, 6.6 (d)
20140429,73203, Mrk421,73207,73207,73207,73207, 06:55,30,30, 0.5S, A, 0.1 (A),51,293,358, 2/1234, 6.9 (d)
20140501,73240, Mrk421,73245,73245,73245,73245, 04:58,30,13, 0.5E, A, 0.6 (D),73,299,218, 2/1234, 5.1 (d)
20140501,73241, Mrk421,73245,73245,73245,73245, 05:29,30,30, 0.5W, A, 0.2 (B),66,294,194, 2/1234, 4.9 (d)
20140501,73242, Mrk421,73245,73245,73245,73245, 06:00,10,10, 0.5N, A, 0.2 (B),62,295,178, 2/1234, 4.9 (d)
20140503,73288, Mrk421,73293,73293,73293,73293, 05:05,30,30, 0.5S, A, 0.1 (A),70,295,361, 2/1234, 5.8 (l)
20140503,73289, Mrk421,73293,73293,73293,73293, 05:35,30,30, 0.5E, A, 0.1 (A),64,294,356, 2/1234, 5.6 (d)
20150119,76022, Mrk421,76024,76024,76024,76024, 11:41,30,30, 0.5N, B, 0.1 (A),72,300,452, 2/1234, 4.3 (d)
20150121,76075, Mrk421,76063,76063,76063,76063, 11:30,30,30, 0.5S, B-, 0.1 (A),73,297,466, 2/1234, 4.1 (d)
20150124,76145, Mrk421,76146,76146,76146,76146, 11:49,30,30, 0.5W, B+, 0.1 (A),66,295,463, 2/1234, 4.7 (d)
20150315,76869, Mrk421,76870,76870,76870,76870, 04:44,30,30, 0.5N, B, 0.5 (D),65,66,372, 2/1234, 5.8 (d)
20150321,76947, Mrk421,76958,76958,76958,76958, 04:09,18,14, 0.5E, B, 0.9 (D),61,67,317, 2/1234, 6.2 (d)
20150415,77263, Mrk421,77262,77262,77262,77262, 06:07,35,35, 0.5N, B, 0.8 (D),71,298,380, 2/1234, 5.4 (d)
20150512,77608, Mrk421,77613,77613,77613,77613, 05:02,30,30, 0.5E, A, 0.1 (A),64,294,373, 2/1234, 5.5 (d)
20151208,79728, Mrk421,79725,79725,79725,79725, 10:04,35,31, 0.5N, B, 1.0 (D),53,66,362, 2/1234, 5.7 (d)
20151218,79926, Mrk421,79919,79919,79919,79919, 10:57,30,30, 0.5W, A, 0.2 (B),71,64,398, 2/1234, 6.0 (d)
20160113,80216, Mrk421,80202,80202,80202,80202, 09:33,30,30, 0.5S, A, 0.3 (B),53,107,385, 2/1234, 5.5 (d)
20160116,80283, Mrk421,80284,80284,80284,80284, 09:26,30,30, 0.5E, A, 0.2 (B),74,60,393, 2/1234,4.5
20160206,80586, Mrk421,80618,80618,80618,80618, 07:39,35,35, 0.5W, A, 0.1 (A),71,64,391, 2/1234,5.8
20160208,80642, Mrk421,80638,80638,80638,80638, 10:37,30,30, 0.5N, B, 0.3 (B),69,297,362, 2/1234, 5.3 (d)
20160210,80685, Mrk421,80678,80678,80678,80678, 07:27,30,30, 0.5S, A, 0.2 (B),71,66,388, 2/1234, 4.6 (d)
20160212,80733, Mrk421,80731,80731,80731,80731, 07:14,30,30, 0.5E, A, 0.1 (A),70,65,388, 2/1234, 4.5 (d)
20160331,81335, Mrk421,81334,81334,81334,81334, 03:51,30,30, 0.5S, A, 0.1 (A),67,67,365, 2/1234,4.8
20160402,81400, Mrk421,81394,81394,81394,81394, 07:11,30,30, 0.5N, A, 0.1 (A),68,297,361, 2/1234,5
20160402,81401, Mrk421,81394,81394,81394,81394, 07:42,30,30, 0.5S, A, 0.3 (B),62,293,364, 2/1234,5
20160404,81439, Mrk421,81441,81441,81441,81441, 06:38,40,40, 0.5W, A, 0.1 (A),72,298,352, 2/1234,4.6
20160404,81440, Mrk421,81441,81441,81441,81441, 07:19,20,18, 0.5N, A, 0.1 (A),66,296,345, 2/1234,4.5
20161202,84014, Mrk421,84010,84010,84010,84010, 10:42,15,15, 0.5N, A, 0.1 (A),54,67,425, 2/1234,4.9
20161204,84042, Mrk421,84032,84032,84032,84032, 10:28,15,15, 0.5S, A, 0.1 (A),53,68,392, 2/1234,5.5
20161208,84107, Mrk421,84101,84101,84101,84101, 10:16,15,15, 0.5W, B+, 0.2 (B),54,67,385, 2/1234,5.4
20161210,84144, Mrk421,84136,84136,84136,84136, 11:44,15,15, 0.5N, A, 0.1 (A),73,61,422, 2/1234,5.2
20170107,84384, Mrk421,84386,84386,84386,84386, 09:03,15,10, 0.5N, B, 0.5 (D),63,66,439, 2/1234,6.1
20170201,84699, Mrk421,84702,84702,84702,84702, 10:43,30,30, 0.5E, A, 0.1 (A),74,299,426, 2/1234, 4.2 (d)
20170201,84700, Mrk421,84702,84702,84702,84702, 11:14,30,30, 0.5W, A, 0.1 (A),67,295,420, 2/1234, 4.1 (d)
20170201,84701, Mrk421,84702,84702,84702,84702, 11:45,15,15, 0.5N, A, 0.1 (A),62,295,418, 2/1234, 4.3 (d)
20170301,85059, Mrk421,85063,85063,84869,85063, 06:24,25,25, 0.5W, A, 0.1 (A),74,61,389, 2/1234,4.9
20170301,85069, Mrk421,85063,85063,84869,85063, 09:41,25,23, 0.5S, A, 0.1 (A),64,293,383, 2/1234,5.2
20170319,85289, Mrk421,85294,85294,85294,85294, 05:08,10,10, 0.5E, A, 0.1 (A),70,65,366, 2/1234,4.6
20170328,85476, Mrk421,85484,85484,85484,85484, 04:26,30,30, 0.5W, A, 0.2 (B),72,63,368, 2/1234,5.3
20170328,85482, Mrk421,85484,85484,85484,85484, 07:42,30,30, 0.5W, A, 0.3 (B),66,294,361, 2/1234,5.1
20170328,85483, Mrk421,85484,85484,85484,85484, 08:13,30,30, 0.5N, A, 0.5 (D),60,295,344, 2/1234,5.1
20170401,85582, Mrk421,85571,85571,85571,85571, 08:47,15,15, 0.5N, B, 0.0 (A),52,295,334, 2/1234, 5.0 (d)
20170420,85813, Mrk421,85807,85807,85807,85807, 05:55,10,10, 0.5N, A, 0.1 (A),71,299,331, 2/1234, 6.1 (d)
20170516,86146, Mrk421,86148,86148,86148,86148, 04:33,10,10, 0.5W, B, 0.2 (B),67,295,338, 2/1234, 5.4 (d)
20170519,86206, Mrk421,86214,86214,86214,86214, 04:58,10,10, 0.5N, B-, 0.1 (A),60,294,340, 2/1234, 5.1 (d)
20170525,86332, Mrk421,86331,86331,86331,86331, 04:13,17,17, 0.5S, B, 0.3 (C),64,293,330, 2/1234, 5.5 (d)
20171216,88376, Mrk421,88371,88371,88371,88371, 10:33,30,30, 0.5N, A, 0.2 (B),65,66,401, 2/1234, 4.9 (d)
20171219,88391, Mrk421,88387,88387,88387,88387, 09:43,30,30, 0.5S, A, 0.1 (A),57,68,372, 2/1234, 5.9 (d)
20171219,88392, Mrk421,88387,88387,88387,88387, 10:14,30,30, 0.5E, A, 0.1 (A),63,67,365, 2/1234, 5.7 (d)
20171219,88393, Mrk421,88387,88387,88387,88387, 10:45,15,10, 0.5W, B, 0.1 (A),68,66,359, 2/1234, 5.6 (d)
20171220,88418, Mrk421,88411,88411,88411,88411, 10:04,30,30, 0.5N, A, 0.2 (B),62,66,388, 2/1234, 5.4 (d)
20171220,88419, Mrk421,88411,88411,88411,88411, 10:35,30,30, 0.5S, A, 0.1 (A),68,67,395, 2/1234,5.2
20171221,88445, Mrk421,88438,88438,88438,88438, 10:07,30,30, 0.5E, A, 0.1 (A),63,67,405, 2/1234, 5.2 (d)
20171221,88446, Mrk421,88438,88438,88438,88438, 10:38,30,30, 0.5W, A, 0.1 (A),70,65,412, 2/1234, 5.1 (d)
20180111,88701, Mrk421,88689,88689,88689,88689, 09:31,30,30, 0.5E, B+, 0.3 (C),72,63,391, 2/1234, 5.4 (l)
20180112,88733, Mrk421,88717,88717,88717,88717, 12:10,30,30, 0.5E, A, 0.2 (B),72,298,400, 2/1234, 6.3 (m)
20180112,88734, Mrk421,88717,88717,88717,88717, 12:41,33,33, 0.5W, A, 0.1 (A),65,294,400, 2/1234, 7.1 (m)
20180113,88759, Mrk421,88745,88745,88745,88745, 12:18,20,20, 0.5W, A, 0.1 (A),70,296,398, 2/1234, 5.1 (l)
20180114,88779, Mrk421,88763,88763,88763,88763, 09:21,30,30, 0.5N, A, 0.1 (A),73,61,396, 2/1234, 4.4 (d)
20180118,88865, Mrk421,88840,88840,88840,88840, 07:48,30,30, 0.5N, A, 0.1 (A),58,67,386, 2/1234, 5.1 (d)
20180118,88866, Mrk421,88840,88840,88840,88840, 08:18,30,30, 0.5S, A, 0.1 (A),64,68,398, 2/1234, 5.0 (d)
20180118,88867, Mrk421,88840,88840,88840,88840, 08:49,30,30, 0.5E, A, 0.1 (A),69,65,399, 2/1234, 4.8 (d)
20180119,88891, Mrk421,88887,88887,88887,88887, 07:41,20,20, 0.5N, B-, 0.6 (D),56,67,355, 2/1234,6.4
20180120,88920, Mrk421,88912,88912,88912,88912, 08:49,30,30, 0.5N, A, 0.1 (A),71,62,408, 2/1234, 4.6 (d)
20180122,88953, Mrk421,88957,88957,88957,88957, 08:58,30,30, 0.5E, B-, 0.6 (D),74,61,420, 2/1234, 5.1 (d)
20180123,88977, Mrk421,88987,88987,88987,88987, 08:03,5,4, 0.5W, A, 0.1 (A),63,67,399, 2/1234, 5.0 (d)
20180124,89002, Mrk421,89008,89008,89008,89008, 07:34,5,5, 0.5N, A, 0.1 (A),57,67,388, 2/1234, 4.9 (d)
20180124,89005, Mrk421,89008,89008,89008,89008, 08:43,30,30, 0.5E, A, 0.1 (A),73,63,405, 2/1234, 4.4 (d)
20180316,89530, Mrk421,89529,89529,89529,89529, 04:43,10,10, 0.5S, A, 0.1 (A),64,68,363, 2/1234, 5.5 (d)
20181106,91007, Mrk421,90997,90997,90997,90997, 12:18,15,15, tracking, A, 0.0 (A),53,67,331, 2/1234, 7.0 (d)
20181107,91032, Mrk421,91020,91020,91020,91020, 12:20,15,15, 0.5S, A, 0.1 (A),54,68,328, 2/1234, 7.6 (d)
20181108,91057, Mrk421,91053,91053,91053,91053, 12:21,14,14, 0.5E, A, 0.1 (A),54,67,328, 2/1234, 7.7 (d)
20181109,91083, Mrk421,91077,91077,91077,91077, 12:18,18,10, 0.5W, A, 0.7 (D),56,68,324, 2/1234, 7.6 (d)
20181110,91111, Mrk421,91094,91094,91094,91094, 12:22,15,15, 0.5N, A, 0.1 (A),57,67,316, 2/1234, 7.2 (d)
20181111,91134, Mrk421,91126,91126,91126,91126, 12:20,17,17, 0.5S, A, 0.1 (A),57,69,330, 2/1234, 7.2 (d)
20181112,91159, Mrk421,91151,91151,91151,91151, 12:27,10,10, 0.5E, A, 0.1 (A),58,68,336, 2/1234, 6.9 (d)
20181114,91213, Mrk421,91209,91209,91209,91209, 12:23,17,17, 0.5N, A, 0.2 (B),60,67,351, 2/1234, 5.9 (d)
20181115,91240, Mrk421,91229,91229,91229,91229, 12:22,18,18, 0.5S, A, 0.1 (A),61,69,347, 2/1234, 6.4 (d)
20181116,91266, Mrk421,91256,91256,91256,91256, 12:22,18,16, 0.5E, B, 0.2 (B),61,67,334, 2/1234, 6.2 (d)
20181117,91289, Mrk421,91281,91281,91281,91281, 12:24,17,17, 0.5W, A, 0.1 (A),63,67,335, 2/1234, 5.9 (d)
20181119,91305, Mrk421,91300,91300,91300,91300, 11:56,15,15, 0.5N, A-, 0.1 (A),58,67,320, 2/1234, 5.1 (d)
20181209,91494, Mrk421,91484,91484,91484,91484, 10:48,15,15, 0.5S, A, 0.1 (A),61,69,342, 2/1234, 5.1 (d)
20181210,91519, Mrk421,91504,91504,91504,91504, 10:38,15,15, 0.5E, B, 0.1 (A),59,68,345, 2/1234, 5.4 (d)
20181213,91558, Mrk421,91557,91557,91557,91557, 10:37,15,15, 0.5W, A, 0.1 (A),62,67,347, 2/1234, 4.6 (d)
20181214,91581, Mrk421,91582,91582,91582,91582, 10:24,15,14, 0.5N, A, 0.1 (A),60,67,356, 2/1234, 4.6 (d)
20181219,91606, Mrk421,91607,91607,91607,91607, 10:59,15, n/a, 0.5S, A, 0.2 (B),71,66,373, 2/1234, 5.8 (d)
20190104,91732, Mrk421,91728,91728,91728,91728, 13:02,10,10, 0.5N, A, 0.1 (A),70,297,370, 2/1234, 5.4 (l)
20190127,91976, Mrk421,91972,91972,91972,91972, 06:49,15,15, 0.5N, A, 0.1 (A),51,66,326, 2/1234, 5.5 (d)
20190128,92009, Mrk421,92005,92005,92005,92005, 08:13,15,15, 0.5S, A, 0.1 (A),69,67,347, 2/1234, 5.0 (l)
20190203,92143, Mrk421,92137,92137,92137,92137, 07:20,15,15, 0.5S, B-, 0.2 (B),63,68,339, 2/1234, 5.1 (d)
20190208,92186, Mrk421,92184,92184,92184,92184, 07:37,15,15, 0.5W, A, 0.1 (A),71,64,371, 2/1234, 4.5 (d)
20190224,92265, Mrk421,92263,92243,92263,92263, 05:43,15,15, 0.5W, B, 0.1 (A),61,68,353, 2/1234, 5.2 (d)
20190309,92445, Mrk421,92437,92437,92437,92437, 10:06,15,15, 0.5S, A, 0.1 (A),54,293,331, 2/1234, 4.6 (d)
20190324,92526, Mrk421,92527,92527,92527,92527, 04:31,15,15, 0.5E, B, 1.1 (D),67,66,289, 2/1234, 6.8 (m)
20190426,93012, Mrk421,93021,93021,93021,93021, 07:01,15,15, 0.5E, A, 0.1 (A),54,294,278, 2/1234, 5.7 (d)
20190428,93051, Mrk421,93052,93052,93052,93052, 06:50,15,15, 0.5N, A, 0.1 (A),54,294,287, 2/1234, 5.7 (d)
20190430,93086, Mrk421,93087,93087,93087,93087, 06:49,15,15, 0.5E, B, 0.2 (B),54,294,303, 2/1234, 5.7 (d)
20190502,93126, Mrk421,93130,93130,93130,93130, 06:52,15,15, 0.5N, A, 0.1 (A),51,295,283, 2/1234, 5.2 (d)
20190526,93307, Mrk421,93305,93305,93305,93276, 03:51,15,15, 0.5S, A, 0.2 (B),68,294,361, 2/1234, 5.4 (d)
20190527,93325, Mrk421,93326,93326,93326,93276, 03:40,20,20, 0.5E, A, 0.1 (A),69,296,360, 2/1234, 6.5 (d)
20190528,93346, Mrk421,93351,93351,93351,93276, 03:52,15,15, 0.5W, A, 0.1 (A),66,294,348, 2/1234, 6.4 (d)
20190529,93371, Mrk421,93370,93370,93370,93276, 04:32,30,30, 0.5N, A, 0.2 (B),56,294,329, 2/1234, 5.9 (d)
20190530,93388, Mrk421,93391,93391,93391,93391, 04:53,15,15, 0.5S, A, 0.1 (A),53,293,308, 2/1234, 5.7 (d)
20190531,93407, Mrk421,93405,93405,93405,93405, 04:50,15,15, 0.5E, A, 0.2 (B),53,294,295, 2/1234, 5.9 (d)
20190601,93428, Mrk421,93433,93433,93433,93433, 04:52,15,15, 0.5W, A, 0.1 (A),51,294,281, 2/1234, 5.7 (d)
20190605,93499, Mrk421,93509,93509,93509,93509, 04:26,15,15, 0.5E, A, 0.3 (C),54,294,297, 2/1234, 6.6 (d)
,,,,,,,,3790,3656,,,,,,,,
